Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,ROU,Romania,HepB_BD,96,73,98,99,99,98,97,99,90,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,HepB_BD,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,HepB_BD,72,69,78,83,87,78,62,68,85,58,52,45,66,86,85,86,,,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,HepB_BD,98,98,99,99,98,98,98,98,96,95,96,95,94,98,94,,,,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,HepB_BD,99,99,99,99,99,99,99,99,99,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,HepB_BD,69,69,68,67,68,68,70,71,73,74,76,99,97,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,HepB_BD,65,62,58,59,61,62,71,80,83,81,80,78,76,73,99,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,HepB_BD,65,64,45,51,46,41,36,69,67,64,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),HepB_BD,69,78,81,81,89,97,95,93,93,91,90,90,90,90,89,91,,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,HepB_BD,95,98,98,98,98,96,97,85,83,94,98,90,77,80,,,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,HepB_BD,98,98,98,99,97,95,93,92,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,HepB_BD,89,89,89,84,89,88,88,88,89,89,89,89,89,88,89,89,,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,HepB_BD,88,80,82,73,80,82,88,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,HepB_BD,99,99,99,97,97,97,96,96,96,95,94,88,78,,,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,HepB_BD,98,99,97,99,98,99,99,99,99,99,99,91,90,83,92,99,,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,HepB_BD,57,57,51,51,53,64,73,82,89,88,96,99,85,70,34,,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),HepB_BD,96,91,96,96,97,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),HepB_BD,72,72,74,72,69,64,61,55,53,50,50,48,39,21,,,,,,,,,,,,,,,,,,,,,,
AMR,URY,Uruguay,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,HepB_BD,99,99,99,99,99,48,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),HepB_BD,50,45,80,67,78,73,66,73,64,61,63,57,44,34,35,14,,,,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,HepB_BD,70,55,56,76,55,21,40,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
